"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Romeo Doubs","NE","WR51","0.0","0.0","0.0","56.7","735.1","5.2","0.3","104.2"
"Zach Charbonnet","SEA","RB42","130.5","532.7","5.6","19.8","147.0","0.5","0.7","103.3"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","56.8","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","TE14","0.0","0.0","0.0","62.9","746.1","5.1","1.3","102.4"
"Matthew Golden","GB","WR52","5.5","27.3","0.1","54.9","731.0","4.2","0.4","100.9"
"Woody Marks","HOU","RB43","142.6","555.4","2.7","24.0","197.7","1.8","0.8","100.3"
"Khalil Shakir","BUF","WR53","1.1","5.5","0.0","72.4","748.1","4.2","0.8","99.4"
"Josh Downs","IND","WR54","1.4","4.3","0.0","75.9","736.4","4.3","0.8","98.4"
"John Metchie III","CAR","WR55","3.0","-4.0","0.0","65.0","617.0","6.0","0.0","97.7"
"Hunter Henry","NE","TE15","0.0","0.0","0.0","56.3","651.7","5.4","0.1","97.4"
"Theo Wease Jr.","MIA","WR56","2.0","8.0","0.0","48.0","685.0","5.0","1.0","97.3"
"Alvin Kamara","NO","RB44","127.9","491.9","2.8","35.1","242.8","1.3","0.8","96.3"
"Jalen Coker","CAR","WR57","0.0","0.0","0.0","57.6","697.5","4.6","0.8","95.7"
"Rashod Bateman","BAL","WR58","0.0","0.0","0.0","38.4","594.5","6.0","0.2","95.0"
"Isiah Pacheco","DET","RB45","139.2","581.4","3.5","21.1","136.2","0.6","0.8","94.9"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","74.1","607.0","5.9","1.4","93.6"
"Tyrone Tracy Jr.","NYG","RB46","122.8","521.5","2.5","26.3","203.3","1.2","0.8","93.3"
"Tre Tucker","LV","WR59","11.2","52.9","0.2","50.1","633.7","3.8","0.1","91.9"
"Brenton Strange","JAC","TE17","0.0","0.0","0.0","60.0","658.4","4.3","0.2","91.4"
"Tank Dell","HOU","WR60","10.2","48.8","0.1","50.0","633.0","3.8","0.2","91.4"
"Tyjae Spears","TEN","RB47","92.1","368.0","2.9","45.9","305.2","1.2","0.7","90.5"
"Jerry Jeudy","CLE","WR61","0.5","2.0","0.0","54.2","744.8","2.9","0.7","90.3"
"KC Concepcion","CLE","WR62","4.2","22.4","0.1","55.6","706.3","3.1","1.3","89.6"
"Juwan Johnson","NO","TE18","0.0","0.0","0.0","64.5","726.3","3.3","1.3","89.5"
"Chris Rodriguez Jr.","JAC","RB48","133.8","553.4","5.1","5.4","42.5","0.1","0.6","89.4"
"Jayden Higgins","HOU","WR63","0.0","0.0","0.0","49.3","608.3","4.7","0.2","88.7"
"Jalen McMillan","TB","WR64","4.7","26.8","0.1","46.7","606.1","3.9","0.2","87.2"
"Jalen Nailor","LV","WR65","2.0","8.5","0.0","43.6","589.9","4.5","0.2","86.7"
"Brian Robinson Jr.","ATL","RB49","129.8","564.6","4.3","6.9","43.0","0.1","0.7","86.2"
"Jauan Jennings","MIN","WR66","0.0","0.0","0.0","48.7","557.1","5.2","0.7","85.3"
"Adonai Mitchell","NYJ","WR67","2.2","11.2","0.1","41.5","610.8","3.5","0.5","83.0"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","629.8","3.4","0.2","82.8"
"Antonio Williams","WAS","WR68","3.5","18.7","0.1","44.2","598.5","3.6","1.2","81.4"
"Justice Hill","BAL","RB50","56.4","273.6","2.2","34.7","303.1","1.8","0.2","81.4"
"Pat Freiermuth","PIT","TE20","0.0","0.0","0.0","53.0","558.0","4.3","0.2","80.9"
"Kenyon Sadiq","NYJ","TE21","0.0","0.0","0.0","51.1","558.1","4.1","0.7","78.9"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","619.7","3.2","1.2","78.9"
"Tyler Allgeier","ARI","RB51","111.7","428.1","4.2","17.1","108.4","0.2","0.6","78.5"
"AJ Dillon","CAR","RB52","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","RB53","98.9","443.5","3.7","17.9","135.2","0.4","1.9","78.3"
"Cooper Kupp","SEA","WR69","0.5","1.5","0.0","47.4","583.9","3.4","0.7","77.7"
"Denzel Boston","CLE","WR70","1.0","5.0","0.0","48.8","611.1","2.9","0.8","77.4"
"T.J. Hockenson","MIN","TE23","0.0","0.0","0.0","63.9","574.1","3.3","0.2","76.7"
"Terrance Ferguson","LAR","TE24","0.0","0.0","0.0","36.3","500.4","4.5","0.2","76.5"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.6","4.9","0.2","75.8"
"Oronde Gadsden II","LAC","TE26","0.0","0.0","0.0","44.2","550.2","3.5","0.7","74.6"
"Omar Cooper Jr.","NYJ","WR71","2.1","12.5","0.1","46.3","550.4","3.3","1.2","74.1"
"Cade Otton","TB","TE27","0.0","0.0","0.0","54.9","556.9","3.1","0.1","74.0"
"Jordan James","SF","RB54","97.9","397.7","3.0","16.1","142.0","0.7","1.2","73.8"
"Kayshon Boutte","NE","WR72","0.0","0.0","0.0","32.0","486.2","4.2","0.1","73.5"
"Germie Bernard","PIT","WR73","2.1","10.8","0.0","44.6","550.8","3.1","0.8","73.5"
"Braelon Allen","NYJ","RB55","97.3","391.3","4.0","12.9","93.8","0.7","1.7","73.1"
"Chig Okonkwo","WAS","TE28","0.0","0.0","0.0","53.8","566.1","2.7","0.1","72.7"
"Dylan Sampson","CLE","RB56","73.5","253.8","1.3","35.9","284.2","2.1","1.2","71.9"
"Ty Johnson","BUF","RB57","51.6","218.7","2.0","24.9","250.7","2.1","0.2","71.4"
"De'Zhaun Stribling","SF","WR74","1.5","6.5","0.0","37.6","525.2","3.1","0.7","70.2"
"Travis Hunter","JAC","WR75","2.0","10.8","0.1","41.6","496.2","3.3","0.4","70.0"
"Xavier Legette","CAR","WR76","2.1","10.8","0.1","41.7","500.5","3.2","0.4","69.9"
"Darnell Mooney","NYG","WR77","1.1","6.0","0.0","35.9","526.0","2.7","0.1","69.4"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","461.2","3.9","0.1","69.1"
"Bub Means","NO","WR78","1.0","6.0","0.0","38.0","516.0","3.0","1.0","68.2"
"Tyquan Thornton","KC","WR79","0.0","0.0","0.0","25.4","465.8","3.5","0.1","67.2"
"Emari Demercado","KC","RB58","76.8","425.9","1.7","16.3","119.0","0.8","1.7","66.2"
"Ja'Kobi Lane","BAL","WR80","1.5","8.5","0.0","30.4","459.2","3.4","0.6","66.1"
"Darius Slayton","NYG","WR81","1.6","8.6","0.0","34.8","512.7","2.5","0.7","65.8"
"Tory Horton","SEA","WR82","0.5","3.0","0.0","30.3","401.0","4.2","0.6","64.1"
"Kaelon Black","SF","RB59","93.7","369.3","3.0","8.5","76.2","0.6","1.1","64.0"
"Tank Bigsby","PHI","RB60","85.6","419.6","3.2","3.3","29.3","0.1","0.2","64.0"
"Malik Washington","MIA","WR83","13.4","80.2","0.7","43.5","390.0","2.3","0.8","63.5"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.4","471.8","2.7","0.1","63.3"
"Mike Washington Jr.","LV","RB61","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.1","3.1","0.2","62.5"
"Zachariah Branch","ATL","WR84","0.0","0.0","0.0","38.3","471.3","2.3","0.4","60.3"
"Troy Franklin","DEN","WR85","3.0","10.8","0.0","36.5","395.9","3.4","0.6","60.1"
"Isaac TeSlaa","DET","WR86","0.0","0.0","0.0","25.4","351.9","4.1","0.1","59.6"
"Keaton Mitchell","LAC","RB62","85.2","395.4","1.9","11.5","82.8","0.2","0.7","59.2"
"Malik Davis","DAL","RB63","79.6","373.1","2.7","6.6","52.3","0.1","0.1","59.1"
"Devaughn Vele","NO","WR87","0.0","0.0","0.0","35.1","422.8","2.8","0.1","59.1"
"Hollywood Brown","PHI","WR88","0.0","0.0","0.0","31.3","389.1","3.3","0.1","58.3"
"Andrei Iosivas","CIN","WR89","2.5","11.1","0.0","31.1","393.7","2.9","0.1","57.9"
"Colby Parkinson","LAR","TE32","0.0","0.0","0.0","34.3","354.4","3.9","0.6","57.6"
"David Njoku","LAC","TE33","0.0","0.0","0.0","34.7","324.2","3.9","0.1","55.8"
"Adam Randall","BAL","RB64","55.1","281.6","2.0","10.3","103.4","1.1","0.6","55.7"
"Ryan Flournoy","DAL","WR90","2.2","12.4","0.1","34.0","383.8","2.7","0.4","55.4"
"Tre' Harris","LAC","WR91","0.0","0.0","0.0","34.5","408.4","2.5","0.4","54.9"
"Caleb Douglas","MIA","WR92","1.0","5.5","0.0","33.1","418.9","2.3","0.7","54.7"
"Dyami Brown","WAS","WR93","0.0","0.0","0.0","29.6","392.1","2.7","0.3","54.6"
"Ashton Dulin","IND","WR94","5.1","46.2","0.1","24.1","399.9","1.6","0.1","54.3"
"Chris Bell","MIA","WR95","0.0","0.0","0.0","34.2","448.9","1.7","0.4","54.1"
"Jalen Tolbert","MIA","WR96","0.0","0.0","0.0","35.4","441.7","1.8","0.3","54.1"
"Ted Hurst III","TB","WR97","1.0","6.5","0.0","28.9","389.5","2.6","0.6","53.8"
"Mason Taylor","NYJ","TE34","0.0","0.0","0.0","44.5","390.9","2.4","0.1","53.2"
"Treylon Burks","WAS","WR98","0.0","0.0","0.0","28.3","393.6","2.3","0.2","52.6"
"Chris Brooks","GB","RB65","72.7","323.3","1.3","15.4","107.5","0.3","0.6","51.5"
"Elic Ayomanor","TEN","WR99","0.0","0.0","0.0","23.9","323.0","3.2","0.0","51.5"
"Dawson Knox","BUF","TE35","0.0","0.0","0.0","28.7","328.7","2.9","0.1","50.3"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","377.4","2.1","0.1","50.1"
"Kimani Vidal","LAC","RB66","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
