"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Zavion Thomas","CHI","12.5","153.6","1.2","0.0","0.0","0.0","0.1","22.4"
"Odell Beckham Jr.","NYG","13.3","164.3","0.9","0.3","1.4","0.0","0.1","21.8"
"Malachi Fields","NYG","13.2","157.5","0.9","0.0","0.0","0.0","0.1","20.8"
"Isaiah Bond","CLE","9.9","130.1","0.8","4.3","23.5","0.1","0.1","20.5"
"Dont'e Thornton Jr.","LV","12.1","167.6","0.6","0.0","0.0","0.0","0.1","20.1"
"Konata Mumpfield","LAR","9.9","126.7","1.2","0.0","0.0","0.0","0.1","19.4"
"Brenen Thompson","LAC","9.5","121.0","0.7","2.1","11.3","0.1","0.1","17.9"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","17.2"
"KeAndre Lambert-Smith","LAC","9.6","121.0","0.9","0.0","0.0","0.0","0.1","17.0"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","15.6"
"Tez Johnson","TB","6.7","77.6","0.6","4.4","23.3","0.2","0.1","14.8"
"Jimmy Horn Jr.","CAR","6.6","76.6","0.4","6.2","36.8","0.2","0.1","14.8"
"Mitch Tinsley","CIN","6.6","84.1","0.8","0.0","0.0","0.0","0.1","12.9"
"Jalen Royals","KC","6.8","78.0","0.6","0.0","0.0","0.0","0.1","11.4"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","10.0"
"Malik Benson","LV","6.4","79.3","0.3","0.0","0.0","0.0","0.1","9.3"
"Anthony Gould","IND","7.0","74.5","0.3","0.0","0.0","0.0","0.1","9.3"
"Bo Melton","GB","2.9","37.5","0.3","4.5","26.0","0.1","0.1","8.6"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","43.8","0.2","0.1","7.4"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","6.9"
"Derius Davis","LAC","3.5","37.9","0.3","2.1","11.0","0.1","0.1","6.7"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","6.3"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","6.3"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","6.3"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","6.2"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","6.2"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","5.5"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","5.4"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","5.2"
"Barion Brown","NO","3.3","39.9","0.2","0.0","0.0","0.0","0.0","5.1"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","5.1"
"Laquon Treadwell","IND","3.5","36.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","4.7"
"Brycen Tremayne","CAR","3.3","36.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.7","0.1","0.0","4.0"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","0.7","6.4","0.0","0.0","0.0","0.0","0.0","0.9"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
