QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
,,,,,,56,BRIAN ROBINSON,57.8,3.6,19.7,0.2,56,KC CONCEPCION,129,7.6,36.5,0.2,56,JOSH WHYLE,21,1.2,4.7,0.0
,,,,,,57,BRAELON ALLEN,55.6,3.5,21.1,0.1,57,STEFON DIGGS,128,7.5,32.3,0.2,57,DURHAM SMYTHE,20,1.2,4.5,0.0
,,,,,,58,JAYDON BLUE,47.7,3.0,15.7,0.2,58,JAKOBI LANE,127,7.5,34.9,0.3,58,BEN SIMS,20,1.2,4.8,0.0
,,,,,,59,JORDAN JAMES,47.6,3.0,16.2,0.2,59,TRE TUCKER,125,7.4,35.1,0.2,59,BREVYN SPANN-FORD,19,1.1,4.9,0.0
,,,,,,60,MIKE WASHINGTON JR,46.7,2.9,17.3,0.1,60,JAUAN JENNINGS,124,7.3,33.6,0.2,60,NATE BOERKIRCHER,18,1.0,4.3,0.0
,,,,,,61,EMARI DEMERCADO,46.1,2.9,12.8,0.1,61,COOPER KUPP,121,7.1,32.2,0.2,61,ELI RARIDON,17,1.0,4.4,0.0
,,,,,,62,KAELON BLACK,44.2,2.8,14.4,0.2,62,DENZEL BOSTON,119,7.0,32.9,0.2,62,ELIJAH HIGGINS,17,1.0,4.3,0.0
,,,,,,63,EMMETT JOHNSON,39.7,2.5,9.0,0.1,63,DONTAYVION WICKS,119,7.0,30.8,0.2,63,FOSTER MOREAU,14,0.8,3.5,0.0
,,,,,,64,TY JOHNSON,39.2,2.4,12.1,0.1,64,ROMEO DOUBS,118,7.0,32.6,0.2,64,BROCK WRIGHT,11,0.6,2.4,0.0
,,,,,,65,OLLIE GORDON II,37.7,2.4,12.8,0.1,65,DE'ZHAUN STRIBLING,118,6.9,30.6,0.2,,,,,,
,,,,,,66,DEVIN NEAL,33.9,2.1,10.5,0.1,66,MAKAI LEMON,117,6.9,33.1,0.2,,,,,,
,,,,,,67,JAMES CONNER,33.1,2.1,9.0,0.1,67,RASHID SHAHEED,116,6.8,31.1,0.2,,,,,,
,,,,,,68,SEAN TUCKER,31.5,2.0,12.7,0.1,68,JALEN MCMILLAN,115,6.8,31.9,0.2,,,,,,
,,,,,,69,GEORGE HOLANI,30.3,1.9,11.9,0.1,69,JERRY JEUDY,114,6.7,32.9,0.1,,,,,,
,,,,,,70,JONAH COLEMAN,30.2,1.9,10.0,0.1,70,XAVIER LEGETTE,114,6.7,30.8,0.1,,,,,,
,,,,,,71,KAYTRON ALLEN,30.2,1.9,12.0,0.1,71,CHRISTIAN KIRK,107,6.3,27.0,0.2,,,,,,
,,,,,,72,LEQUINT ALLEN JR,29.7,1.9,8.1,0.1,72,PAT BRYANT,106,6.2,27.0,0.2,,,,,,
