RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
53,Trey Lance,LAC,7,11,6,63,0,0,2,11,0,5.1,$0,,53,Tyler Allgeier,ARI,14,110,451,3,17,13,85,0,80.2,$0,,53,Jalen Coker,CAR,5,0,0,97,62,712,4,127.8,$9,,53,Drew Sample,CIN,6,22,17,130,1,27.2,$0,$0
54,Mitchell Trubisky,TEN,9,11,7,76,0,0,2,8,0,5.1,$0,,54,Ty Johnson,BUF,7,58,245,2,30,24,206,2,78.4,$0,,54,Khalil Shakir,BUF,7,0,0,90,64,706,4,125.3,$8,,54,Luke Schoonmaker,DAL,14,20,14,128,1,25.4,$0,$0
55,Gardner Minshew,ARI,14,11,7,75,0,0,1,5,0,4.8,$0,,55,Tyjae Spears,TEN,9,75,303,2,35,25,168,1,75.6,$0,,55,Matthew Golden,GB,11,25,0,85,54,677,4,121.8,$7,,55,Noah Fant,NO,8,18,14,126,1,23.6,$0,$0
56,Mac Jones,SF,8,11,7,83,1,0,0,0,0,4.7,$0,,56,Keaton Mitchell,LAC,7,84,371,2,22,15,112,0,73.3,$0,,56,Rashid Shaheed,SEA,11,81,0,79,44,615,4,119.4,$7,,56,Durham Smythe,BAL,13,16,12,110,1,23.2,$0,$0
57,Jake Browning,TB,10,11,8,80,1,0,0,0,0,4.5,$0,,57,Tank Bigsby,PHI,10,97,464,3,5,4,24,0,72.2,$0,,57,Jalen McMillan,TB,10,30,0,72,45,588,4,108.1,$4,,57,Will Kacmarek,MIA,6,17,12,120,1,21.9,$0,$0
58,Jarrett Stidham,DEN,10,12,7,74,0,0,0,0,0,4.2,$0,,58,Mike Washington,LV,13,108,440,2,8,5,36,0,64.4,$0,,58,Tyquan Thornton,KC,5,0,0,63,36,594,5,105.4,$3,,58,Josh Oliver,MIN,6,14,11,105,1,21.0,$0,$0
59,Tommy DeVito,NE,11,11,7,67,0,0,0,0,0,4.1,$0,,59,Kaytron Allen,WSH,7,88,379,3,7,5,37,0,62.7,$0,,59,Calvin Ridley,TEN,9,0,0,81,44,617,4,105.4,$3,,59,Elijah Higgins,ARI,14,16,11,108,1,20.5,$0,$0
60,Davis Mills,HOU,8,6,3,34,0,0,2,9,0,3.4,$0,,60,MarShawn Lloyd,GB,11,83,338,2,11,7,50,0,58.8,$0,,60,Antonio Williams,WSH,7,0,0,72,49,575,4,103.7,$3,,60,Adam Trautman,DEN,10,15,11,109,1,20.2,$0,$0
61,Jalen Milroe,SEA,11,10,6,65,0,0,0,0,0,3.4,$0,,61,Emari Demercado,KC,5,43,170,1,28,21,144,1,54.9,$0,,61,Jalen Nailor,LV,13,0,0,78,48,608,3,103.2,$3,,61,Tanner Koziol,JAX,7,17,11,106,1,19.7,$0,$0
62,Taylen Green,CLE,11,10,6,63,0,0,0,0,0,3.1,$0,,62,Emmett Johnson,KC,5,40,165,1,24,18,129,1,51.4,$0,,62,Adonai Mitchell,NYJ,13,0,0,74,46,593,3,101.9,$3,,62,Brock Wright,DET,6,15,10,85,1,18.2,$0,$0
